name,description
C0506947,Aortic segment
C0506969,Right external jugular
C0506970,"left external
jugular"
C0506973,bronchial wall
C0506980,Left main bronchial
C0507040,posterior basal segment of left
C0507132,posterior basal segmental
C0507133,Cardiac outline
C0507134,Cardiac silhouette
C0507142,Right humeral head
C0507143,Left humeral head
C0507156,right clavicle
C0507157,left clavicle
C0507158,Right cephalic vein
C0507159,Left cephalic vein
C0507162,Right axillary vein
C0507163,Left axillary vein
C0507181,Right latissimus
C0507191,Right rectus abdominus
C0507205,Right scapula
C0507206,Left scapula
C0507215,Left subclav
C0507238,apical segments and segmental
C0507246,Right scapular spine
C0507618,ventricular wall
C0507793,Segment of small intestine
C0507816,pulmonary capillary
C0507817,systemic capillary
C0507850,arterial wall
C0507851,Aortic wall
C0507871,Coronary arterial
C0508000,right renal vein
C0508001,Left renal vein
C0508215,antibiotic administered
C0508431,answers questions
C0509489,close eye
C0510537,elevate legs
C0513836,monitor weight
C0514044,Informed consent was obtained
C0514231,physical exam performed
C0515885,patients stay
C0515995,talk to patient
C0516535,safety of her children
C0516684,wheelchair transfers
C0516711,standing balance
C0516712,sitting balance
C0516746,standing to sitting
C0516750,to side
C0516792,sphincter tone
C0516868,normal heart size
C0516943,patience
C0516946,companionship
C0516979,energy level
C0516981,physical function
C0517048,miles
C0517067,her rolling
C0517100,Was walking backwards
C0517225,comfort level
C0517238,using sign language
C0517627,infection status
C0517629,foul-smelling discharge
C0517654,fingers left
C0517668,hip left
C0517907,muscle movements
C0517929,muscle function
C0517965,pupil size
C0517967,respiratory pattern
C0517994,Obeys commands
C0517999,facial sensation
C0518003,autonomic function
C0518009,food and fluid intake
C0518014,hematocrit
C0518015,latest hemoglobin
C0518017,good cholesterol
C0518031,endurance
C0518033,tissue healing
C0518041,take vitamin
C0518043,on intake
C0518083,disrupted sleep
C0518085,difficulty eating
C0518087,in level
C0518090,Pain
C0518120,Parenting
C0518179,voice change
C0518214,quality of life
C0518443,skin abrasions
C0518447,extremity fracture
C0518451,cranial fracture
C0518454,open head injury
C0518456,Impaired mobility
C0518499,chew food
C0518500,swallow food
C0518505,shave
C0518534,identify medications
C0518597,"routine
routine"
C0518608,confrontation
C0518609,consideration
C0518656,chronic fatigue
C0518695,anxiety associated
C0518766,Vital signs
C0518816,urine clarity
C0518842,will to live
C0518864,granulation
C0518892,fluid electrolyte
C0518895,for neurocognitive
C0518896,Nutrition
C0518902,behavior health
C0518936,Meningoencephalitis
C0518959,left atrial myxoma
C0518960,Right atrial myxoma
C0518988,dental abscess
C0518989,ACUTE DIVERTICULAR
C0519030,KLEBSIELLA PNEUMONIAE
C0519037,Colonic lymphoma
C0519055,scleroderma renal
C0519063,pulmonary lymphoma
C0519097,left ventricular aneurysm
C0519160,FREE T3
C0519825,Chem 12
C0519826,tacrolimus
C0520081,99m sestamibi
C0520138,Clonidine hydrochloride
C0520151,Prednisone orally
C0520257,decision for surgery
C0520266,ASSISTANT SURGEON
C0520453,cannula
C0520463,cah
C0520477,prostate adenoma
C0520482,Somatization disorder
C0520483,tubal ligation
C0520484,xenograft
C0520509,arm bone
C0520532,subcutaneous hematoma
C0520538,tracheobronchopathia osteoplastica
C0520540,rebound hypertension
C0520541,hypotensive episode
C0520559,tongue numbness
C0520564,ulcer ileum
C0520571,biliary fibrosis
C0520573,buffalo hump
C0520575,acute pyelonephritis
C0520594,microcalcification
C0520679,Obstructive Sleep Apnea
C0520680,central sleep apnea
C0520723,periorbital hematoma
C0520736,Coombs positive hemolytic anemia
C0520743,Mediastinal lymphadenopathy
C0520746,pubic rami fracture
C0520753,foreign body ingestion
C0520806,sudden unexplained
C0520818,increased pressure
C0520825,platypnea
C0520861,Elevated jugular venous
C0520863,diastolic dysfunction
C0520870,Decreased cardiac index
C0520877,for interval
C0520878,Short P-R interval
C0520880,is interval
C0520883,post interval
C0520886,ST elevation
C0520887,ST depressions
C0520888,inverted T waves
C0520893,Peeling
C0520898,skin sensitivity
C0520904,postoperative nausea
C0520905,postoperatively. Postoperatively
C0520909,Postoperative nausea and vomiting
C0520912,intestinal gas
C0520946,hypersensitivity
C0520961,withdrawal headache
C0520962,localized pain
C0520963,diffuse pain
C0520966,coordination
C0520970,one increase
C0520997,thrombolysis
C0520998,phosphene
C0521007,Hypophonic
C0521144,seronegative
C0521158,current
C0521169,Compression fracture
C0521170,osteoporotic fracture
C0521171,complicated fracture
C0521172,eschar
C0521173,granulomatosis
C0521174,microcalcifications
C0521195,focal fibrosis
C0521197,indwelling urinary catheter
C0521199,tec
C0521210,polypectomy
C0521211,diverticulectomy
C0521212,oversewing
C0521213,clamping
C0521214,skeletal traction
C0521235,varicose vein surgery
C0521257,laparoscopic fundoplication
C0521264,Laparoscopic liver biopsy
C0521267,laparoscopic adrenalectomy
C0521278,subdural hematoma evacuation
C0521300,life support
C0521302,fluid replacement
C0521304,transplant immunosuppression
C0521306,anticonvulsant therapy
C0521307,neurostimulating
C0521316,gallium scanning
C0521317,MUGA scan
C0521342,ligamentous
C0521343,aponeurotica
C0521344,SEROSA
C0521352,subglottic
C0521366,retropharyngeal
C0521367,oropharynx
C0521377,rectosigmoid
C0521387,myometrial
C0521395,astrocytic
C0521398,microglial
C0521401,leptomeninges
C0521405,subependymal
C0521407,no subependymal
C0521428,adrenal
C0521437,retroorbital
C0521440,in epigastric
C0521450,Lysosomal
C0521453,decidua
C0521454,dichorionic
C0521458,Ectoderm
C0521460,mesonephric
C0521463,cloaca
C0521464,skin edema
C0521481,mucosal edema
C0521515,calcific tendinitis
C0521516,polymyalgia
C0521525,short neck
C0521530,Consolidation
C0521532,diaphragmatic weakness
C0521533,atrial septal aneurysm
C0521540,brainstem hemorrhage
C0521541,brain stem ischemia
C0521542,brain stem infarction
C0521573,left eyelip
C0521585,mucositis
C0521592,oral numbness
C0521604,"diarrhea, inflammatory"
C0521607,peritoneal fibrosis
C0521613,pancreatic hemorrhage
C0521614,gallstone pancreatitis
C0521616,pseudoporphyria
C0521619,ureteropelvic junction obstruction
C0521622,Bilateral hydronephrosis
C0521631,Testicular abscess
C0521643,maternal drug use
C0521654,neurologic deficit
C0521659,upper motor neuron disease
C0521668,Thunderclap Headache
C0521671,Unilateral weakness
C0521707,cataracts
C0521770,asteroid hyalosis
C0521785,deafness one ear
C0521787,clicking sound
C0521800,central cyanosis
C0521839,flu-like illness
C0521874,neglect
C0521939,Selenium
C0521942,Angiotension Receptor Blockers
C0521982,RESPONSE TO TREATMENT
C0521987,pre-existing condition
C0521989,associated symptoms
C0521991,less symptoms
C0521992,agony
C0522008,excessive exercise
C0522035,arm edema
C0522038,elbow edema
C0522040,edema fingers
C0522050,absent S2
C0522051,acute chest pain
C0522054,normal electrocardiogram
C0522055,Abnormal ECG
C0522064,food regurgitation
C0522067,liver pain
C0522071,pancreatic pain
C0522073,orthodeoxia
C0522082,normal glucose level
C0522125,urethral spasm
C0522153,colored urine
C0522165,calm
C0522171,oppressions
C0522172,drunk feeling
C0522174,delinquent
C0522179,fear of dying
C0522182,clear of disease
C0522192,fear of the dark
C0522214,CP abnormalities
C0522224,paralysis
C0522225,Normal reflexes
C0522251,in sinus
C0522328,Limited eye movements
C0522335,Dysconjugate gaze
C0522336,eyes rolled
C0522340,Pupils fixed and dilated
C0522351,positional vertigo
C0522365,severe vertigo
C0522560,needle track marks
C0522563,acute congestive
C0522564,chronic congestive
C0522565,inflammatory edema
C0522567,mild inflammation
C0522621,sessile polyp
C0522644,coil embolization
C0522772,shaving
C0522775,occlusion catheter
C0522776,stent placement
C0522778,stent removal
C0522779,stent replacement
C0522792,administration of intravenous fluids
C0522794,heparin therapy
C0523113,lasts
C0523174,sputum culture
C0523281,MYCOPLASMA ANTIBODY
C0523295,ANTIBODY; TOXOPLASMA
C0523363,Gliadin Antibody
C0523446,ACYLCARNITINES
C0523459,Alanine
C0523508,lipoprotein A
C0523524,Beta-Hydroxybutyrate
C0523571,chylomicron
C0523584,Creatine Kinase MB
C0523631,Folate
C0523665,glutamate
C0523720,free insulin
C0523744,lipids
C0523795,normetanephrines
C0523807,O2 saturation
C0523826,phosphorus
C0523841,porphobilinogen
C0523852,Proline
C0523887,secretin test
C0523891,serum sodium
C0523952,Troponin
C0523961,a measurement
C0523975,aline
C0523979,Cholecalciferol
C0523997,one measurement
C0524166,Lamotrigine
C0524167,Lead
C0524222,Oxycontin
C0524317,thallium scan
C0524331,elderly parent
C0524343,child death
C0524414,condyles
C0524422,atria
C0524425,Endovascular
C0524454,endovaginal
C0524463,Capsule
C0524466,intracranial
C0524468,right shoulder
C0524469,left shoulder
C0524470,right hip
C0524471,left hip
C0524491,leg prosthesis
C0524524,Pseudoaphakia
C0524528,Pervasive developmental disorder
C0524587,MCV
C0524598,occult fracture
C0524610,Chronic Alcoholic Hepatitis
C0524620,Metabolic Syndrome
C0524637,recognition
C0524661,narcotic abuse
C0524662,narcotic dependence
C0524665,Procardia XL
C0524684,pentosan polysulfate sodium
C0524689,lung volume reduction
C0524702,pulmonary thromboembolic
C0524722,gastrointestinal surgeries
C0524724,staples
C0524786,recommended they recommended
C0524800,inhalation exposure
C0524812,intracranial hypotension
C0524832,Thoracic Surgery
C0524850,NEUROSURGERY
C0524851,neurodegenerative disorder
C0524852,orthopedic procedures
C0524861,oral surgery
C0524864,stem cell mobilization
C0524865,Reconstruction
C0524909,CHRONIC HEPATITIS B
C0524910,chronic Hepatitis C
C0524930,transplanted organs
C0525004,viracept
C0525005,6. Nelfinavir
C0525024,prosthesis
C0525032,BCR
C0525041,cognitive symptoms
C0525045,Affective Disorder
C0525079,bendamustine
C0525172,Circuline
C0525187,frontal
C0525227,brimonidine
C0525678,Rasagiline
C0525724,Marshalls
C0525726,Remeron
C0525773,damge
C0525944,Cerebyx
C0526091,Maxitrol
C0526119,miconazole nitrate
C0526502,Accolate
C0526512,Synercid
C0526563,Renagel
C0526783,-Polysorbate 40
C0526815,eAG-126
C0527189,olopatadine
C0527258,Zyprexa
C0527315,aricept
C0527316,Donepezil
C0528166,ZOLMITRIPTAN
C0528175,Copaxone
C0528249,humalog
C0529351,DARIFENACIN
C0529374,Venofer
C0529793,Sildenafil
C0530102,Nimbex
C0530105,Cisatracurium Besylate
C0530684,ezogabine
C0531104,lumefantrine
C0532130,C peptide
C0532694,lidocaine
C0532699,NICOTINIC ACID
C0533295,MALTOPHILIA
C0534191,recombinant factor
C0534343,nystatin 6
C0534476,methyl methacrylate
C0534628,fandostatin
C0535203,S protein
C0536495,"PO
moxifloxacin"
C0537147,Tegaserod
C0537270,INSULIN DETEMIR
C0537439,Enfuvirtide
C0537551,Pramlintide
C0537668,Neumega
C0537894,caspofungin
C0538927,Celecoxib
C0539568,cotreotide
C0539970,libido
C0540128,cG250
C0540301,"C1 esterase
inhibitor"
C0540623,naratriptan
C0540694,Adefovir dipivoxil
C0541102,asparaginase
C0541155,COLESEVELAM
C0541315,everolimus
C0541435,brachial plexus palsy
C0541653,chart review
C0541731,nocardosis
C0541746,thiazides
C0541747,bathing
C0541749,turned
C0541782,sinus pauses
C0541791,atonia
C0541798,early morning awakenings
C0541799,bad taste
C0541804,body numbness
C0541813,kussmaul breathing
C0541819,rectal burning
C0541828,left sided chest pain
C0541831,choreiform
C0541847,high cortisol
C0541875,joint destruction
C0541879,detachment
C0541887,rectal discomfort
C0541911,dullness
C0541912,Duodenal Cancer
C0541919,Dystonic reaction
C0541923,lip edema
C0541974,fuzzy
C0541976,air in stomach
C0541988,myoglobulinuria
C0541990,good effect
C0541992,groggy
C0542014,placental hemorrhage
C0542028,breast hyperplasia
C0542034,Hypogammoglobulinemia
C0542037,triglyceridemia
C0542044,coherent
C0542051,vasomotor instability
C0542058,rational
C0542073,lip smacking
C0542080,hypercellular marrow
C0542127,oversedation
C0542134,in thyroid
C0542135,in left sided
C0542141,Radial Nerve Palsy
C0542147,jejunal perforation
C0542203,water retention
C0542213,positive skin test
C0542223,speech loss
C0542243,toxic reaction
C0542247,tremulousness
C0542269,NQWMI
C0542274,able to balance
C0542279,driver
C0542296,counseling services
C0542304,medication education
C0542306,facilitate communication
C0542313,sleep talking
C0542316,visual memory
C0542331,shunt
C0542346,pimples
C0542351,battery
C0542371,speech problems
C0542380,electrical cardioversion
C0542407,TAH BSO
C0542435,contrast radiology
C0542463,lithium use
C0542476,forgetful
C0542478,response to stimulus
C0542495,triglycerides seen
C0542496,ambient temperatures
C0542514,blue sclera
C0542518,large kidney
C0542525,tongue injury
C0542538,sensation
C0542548,poi
C0542559,settings
C0542560,degrees
C0542565,bladder continence
C0542571,facial edema
C0543134,balanced salt solution
C0543419,late effects
C0543421,total cholesterol
C0543441,voice changes
C0543454,Fosfomycin Tromethamine
C0543464,Potassium Aminobenzoate
C0543467,surgery
C0543473,Bisoprolol Fumarate
C0543478,residual tumor
C0543488,interest
C0543492,Delavirdine Mesylate
C0543495,albuterolsulfate
C0543507,starvation ketosis
C0543698,hypersensitivity syndrome
C0543825,vena caval syndrome
C0543829,clinical pneumonia
C0543888,epileptic encephalopathy
C0544336,caffeine benzoate
C0544420,digestive enzymes
C0544452,In remission
C0544617,neurogenic shock
C0544618,Orthostatic hypertension
C0544680,quadrant anopia
C0544688,disease complicated
C0544691,changing
C0544724,surgical implants
C0544726,hole
C0544755,bowed legs
C0544791,sinus tract
C0544840,amyloidoma
C0544864,ad line
C0545084,outpatient visits
C0545092,hospital visit
C0545131,differentials
C0545209,group B streptococcal
C0545265,chemistry profile
C0545309,rapid desensitization
C0545406,Abutment
C0545441,cardiovascular rehabilitation
C0545447,monitoring her temperature
C0545509,mother and father
C0545649,piriform muscle
C0545665,trachea and esophagus
C0545668,broncho-pleural
C0545674,broncho-alveolar
C0545675,bronchopulmonary
C0545728,ilio-femoral
C0545733,vertebrobasilar
C0545736,aorto femoral
C0545743,coronary coronary
C0545747,artery pulmonary
C0545765,femoro-popliteal
C0545775,and mouth
C0545792,hepato-renal
C0545795,liver and gallbladder
C0545797,liver and spleen
C0545801,gallbladder and bile ducts
C0545806,gallbladder and stomach
C0545808,bile duct and liver
C0545811,pancreas and duodenum
C0545812,pancreas and stomach
C0545826,stomach skin
C0545830,stomach and small intestine
C0545860,colon and sigmoid colon
C0545864,rectum and vagina
C0545945,vulva and vagina
C0545947,vagina and uterus
C0545949,vagina and cervix
C0545988,brain and spinal cord
C0546012,temporo-parietal
C0546015,temporal and frontal lobes
C0546018,right basal ganglia
C0546019,left basal ganglia
C0546099,arm and leg
C0546176,sickle cell pain crisis
C0546259,Tracheostomy Site
C0546515,Cystotomy
C0546521,cystolithotomy
C0546522,nephrolithotomy
C0546523,carpectomy
C0546525,claviculectomy
C0546528,facetectomy
C0546531,phalangectomy
C0546535,hemicolectomy
C0546545,Open bone biopsy
C0546547,bone marrow biopsy aspiration
C0546660,methemoglobin
C0546733,serum viscosity
C0546783,vascular imaging
C0546816,persistent
C0546817,volume overload
C0546824,intrauterine insemination
C0546834,VISUAL EVOKED POTENTIAL
C0546837,esophageal neoplasm
C0546857,Chlorampheniramine maleate
C0546860,CLONIDINE HCL
C0546863,Ethambutol HCl
C0546864,Fentanyl Citrate
C0546868,Hydrocodone Bitartrate/Apap
C0546869,LIDOCAINE HCL
C0546873,NAPROXEN SODIUM
C0546876,Promethazine HCl
C0546879,TETRACYCLINE S
C0546882,Liothyronine Sodium
C0546884,Hypovolemia
C0546947,choking sensation
C0546953,subacromial bursitis
C0546956,brittle nails
C0546959,atrial tachycardia
C0546983,Post-concussive syndrome
C0546999,round ground
C0547002,death rattle
C0547030,visual disturbance
C0547053,grade 1
C0547057,burr cells
C0547070,p Ablation
C0547071,ligament reconstruction
C0547605,infection prevention
C0548067,nasopharyngeal suctioning
C0548441,preparation for her procedure
C0548471,surgery protocols
C0548611,infections resolve
C0548823,gastrointestinal distress
C0549099,perforated
C0549106,financial problems
C0549109,plantar fascia
C0549113,aortic root
C0549117,frontal lobe syndrome
C0549122,"relative afferent
pupillary defect"
C0549123,enlarged tonsils
C0549124,intraarterial embolus
C0549143,pulmonary renal syndrome
C0549164,mental alertness
C0549165,occupation
C0549175,fibromatosis coli
C0549184,none
C0549201,asteatotic eczema
C0549206,pregnant
C0549207,vertebral
C0549209,jitteriness
C0549224,frontal region
C0549225,Myasthenic Syndrome
C0549240,head nodding
C0549248,electric shock sensation
C0549249,decreased consciousness
C0549262,rebound effect
C0549263,opiate withdrawal symptoms
C0549289,inferior vena cava thrombosis
C0549297,ear swelling
C0549299,Gi symptoms
C0549343,neck tightness
C0549356,inflicted injuries
C0549379,recurrent cancer
C0549383,ovarian hyperstimulation
C0549391,bladder discomfort
C0549393,alcohol problem
C0549397,deviated nasal septum
C0549398,-Meibomitis
C0549399,cholesterol elevated
C0549401,difficult intubation
C0549405,blood pressure fluctuation
C0549410,palmar-plantar erythrodysesthesia
C0549418,decreased urine flow
C0549423,obstructive hydrocephalus
C0549433,surgical intervention
C0549447,foul smelling urine
C0549448,Increased HCT
C0549465,muscle tone
C0549471,superior sulcus tumor
C0549473,thyroid cancer
C0549475,base increased
C0549493,alveolitis
C0549583,acneform
C0549609,adrenal dysfunction
C0549614,gastric/duodenal
C0549616,anal rectal
C0549642,intracranial vascular
C0549649,misuse
C0549651,abnormality of the left
C0549661,segment changes
C0550712,Meclizine
C0550849,HLA-Ab
C0551427,Hallucinogens
C0551458,Narcotics
C0551483,Thiazides
C0551521,CAD diagnosis
C0551571,History of Alcohol use
C0551605,History of Tobacco use
C0551628,Operative note
C0551716,EKG study
C0551729,Surgical drains
C0551731,Abortions
C0552036,MA from FL
C0552239,US Study
C0552315,amniotic fluid index
C0552319,anesthesia record
C0552333,Biophysical profile
C0552371,titation
C0552385,Consultation note
C0552421,discharge notes
C0552443,effacement
C0552472,hemoglobin pattern
C0552479,history of alcohol use
C0552506,immunization status
C0552510,causes injury
C0552546,microscopic exam
C0552579,pregnancy status
C0552582,PROBLEM LIST
C0552583,procedure noted
C0552595,PSYCHIATRIC
C0552597,receiving facility
C0552809,Synthesis Rate
C0553262,Lortab
C0553288,Lives with children
C0553492,his systems
C0553499,Choroid plexus
C0553500,extracranial anatomy
C0553533,low immunoglobulin
C0553534,cardio-pulmonary
C0553544,gaze
C0553548,necrotizing arteritis
C0553572,infertility secondary
C0553573,primary infertility
C0553576,systemic fungal infection
C0553618,emergency visit
C0553642,myofascial pain
C0553647,calcified fibrous
C0553650,colostomy revision
C0553654,steer
C0553668,labored brathing
C0553681,low fibrinogen
C0553692,Brain Hemorrhage
C0553694,Cx: OROPHARYNGEAL
C0553695,exocrine pancreas
C0553697,granulomatous inflammation
C0553698,high monocyte count
C0553702,Na increased
C0553704,elevated serum potassium
C0553707,malignant epithelioid
C0553718,renal artery occlusion
C0553720,spherocytosis
C0553723,squamous cell skin ca
C0553727,muscular paralysis
C0553730,Pseudogout
C0553731,increased prolactin
C0553741,fluid management
C0553794,Lumbar Punctures
C0553891,extubated
C0553980,endomyocardial fibrosis
C0554011,superficial parotidectomy
C0554101,villous atrophy
C0554139,pyeloplasty
C0554309,azotemia
C0554325,Sacrocolpopexy
C0554393,placental infarction
C0554445,Reopening of recent laparotomy
C0554478,perianal dermatitis
C0554626,organ harvest
C0554631,vomit black
C0554640,lipoma removal
C0554736,arm x-ray
C0554740,Pelvis X-ray
C0554748,lumbar myelogram
C0554756,Doppler
C0554780,house fire
C0554804,assisted ventilation
C0554831,digitalized
C0554876,"Diabetes mellitus, poorly controlled"
C0554976,bradyphrenia
C0554978,racing thoughts
C0555024,Eloped
C0555026,marital discord
C0555047,married
C0555050,wife left home
C0555061,virgin
C0555065,frequent periods
C0555108,absolute lymphocytosis
C0555120,leukocyturia
C0555141,amphetamine urine
C0555142,digoxin serum level
C0555159,urine catecholamines
C0555198,malignant glioma
C0555214,Cystic lung disease
C0555232,pseudohermaphroditism
C0555278,cerebral metastases
C0555307,colon injury
C0555312,tendon laceration
C0555315,shoulder strain
C0555335,olecranon fracture
C0555336,ulnar styloid fracture
C0555337,thumb fracture
C0555345,of medial malleolus fracture
C0555346,lateral malleolus fracture
C0555881,arnica
C0555898,sacroiliac
C0555903,Protein->
C0555929,inferior to basal inferior segments
C0555966,injection given
C0555970,nasal infection
C0555971,oral infection
C0555972,toe infection
C0555973,foot infection
C0555974,finger infection
C0555975,sore bottom
C0555979,knee problems
C0555980,foot problems
C0556030,Repositioned
C0556033,work analysis
C0556043,protein requirements
C0556050,vent requirements
C0556076,requirements w
C0556112,oral supplementation
C0556150,docosahexanoic acid
C0556160,coffee intake
C0556234,sugar intake
C0556301,Very heavy drinker
C0556303,drinking habit
C0556338,Drinker
C0556347,may drink
C0556374,morning while intoxicated
C0556393,inhaled drug
C0556394,smoking smoking
C0556450,buying drugs
C0556453,physically active
C0556454,is regularly regular
C0556459,frequency of sz
C0556477,sexual relationship
C0556630,trimmed
C0556664,CERVICAL TRACTION
C0556783,joint manipulation
C0556894,night splint
C0556956,cervical region
C0556957,lower thoracic region
C0556994,lucid
C0557033,remind
C0557034,assist
C0557037,assisted procedure
C0557055,reassuring
C0557061,discussion
C0557074,second language
C0557075,religious
C0557086,no family
C0557111,young parents
C0557128,Lives with friends
C0557130,family live
C0557134,Lives with his mother
C0557135,Lives with her father
C0557161,restitution
C0557192,its benefits
C0557351,employed
C0557369,looking for work
C0557392,some work
C0557441,maternity leave
C0557466,caregiver
C0557717,"social
security benefits"
C0557834,kids walking
C0557869,introverted
C0557871,extroverted
C0557872,pink lips
C0557874,developmental delay
C0557899,right increased
C0557907,feeling lost
C0557911,feel ill
C0557932,memory lapses
C0557980,treatment evaluation
C0557982,left alone
C0557989,movement restriction
C0557992,anger management
C0558005,needs assessment
C0558009,Pressure ulcer care
C0558010,pressure management
C0558024,sectional analysis
C0558033,wound assessment
C0558035,skin assessment
C0558058,reflect
C0558066,intrusive thoughts
C0558067,tangential
C0558083,eager
C0558089,verbal abuse
C0558125,monogamous
C0558134,cruise
C0558141,transgender
C0558142,found inflammation
C0558145,normal skin
C0558148,yellow skin
C0558158,decubitus heel ulcers
C0558165,curly hair
C0558172,wears glasses
C0558176,gastric reflux
C0558180,smearing feces
C0558185,unable to move
C0558187,milk production
C0558189,abnormal movements
C0558192,legs stiff
C0558193,stiff limbs
C0558195,wheelchair bound
C0558208,anxiety treatment
C0558220,temperamental
C0558236,breast changes
C0558242,in tight
C0558255,in preventing
C0558261,terrified
C0558265,multiple sexual partners
C0558297,digested food
C0558301,undigested food
C0558333,Rectal polypectomy
C0558336,hydrocele repair
C0558337,hypospadias repair
C0558347,revision
C0558348,bacterial gastroenteritis
C0558353,tongue carcinoma
C0558355,tonsillar carcinoma
C0558356,ocular melanoma
C0558361,sniffles
C0558362,pansinusitis
C0558368,vaginal irritation
C0558380,emergency cesarean section
C0558382,foot cellulitis
C0558385,neck disease
C0558401,skin laceration
C0558444,war injury
C0558489,PAIN KIDNEY
C0558535,KIDNEY NEEDLE BIOPSY
C0558581,diagnostic aspiration
C0558588,examination under anesthesia
C0558631,biliary lithotripsy
C0558799,femoral bruit
C0558819,cranial nerve examination
C0558844,Absent patellar reflexes
C0558919,stress at work
C0558920,thigh mass
C0558921,rectal symptoms
C0559106,preexcitation
C0559119,family history of breast cancer
C0559159,History of cerebrovascular accident
C0559221,gastrostomy feed
C0559223,travel abroad
C0559234,Esophageal reflux
C0559240,iliopsoas bursitis
C0559306,Endocrine
C0559312,one lung ventilation
C0559365,abdominal arteries
C0559425,hamate fracture
C0559430,her intake
C0559459,sacrococcygeal teratoma
C0559465,fetal heart monitoring
C0559470,peanut allergy
C0559473,MATERNAL HISTORY
C0559477,perinatal asphyxia
C0559478,perinatal hypoxia
C0559499,biceps
C0559502,triceps
C0559546,adverse effect
C0559555,Family history of alcoholism
C0559567,Multiple bruising
C0559650,tendon reconstruction
C0559687,throat swelling
C0559692,intravenous fluids or intravenous
C0559702,shoulder arthroscopy
C0559867,column fracture
C0559872,phosphorous intake
C0559875,stable fracture
C0559892,normal periods
C0559897,get follow
C0559907,penile artery
C0559938,Ileal perforation
C0560017,Normal EEG
C0560023,medication review
C0560024,eyelid swelling
C0560046,unable to walk
C0560078,walk up stairs
C0560175,carrier state
C0560182,to diagnosis
C0560219,excessive alcohol consumption
C0560317,sinus injury
C0560435,skip
C0560453,jump
C0560464,shuffle
C0560560,move
C0560570,cardiovascular injury
C0560617,knocked unconscious
C0560623,cheek injury
C0560626,clavicle injury
C0560630,coccyx injury
C0560632,lower back injury
C0560636,pelvic injury
C0560640,calf injury
C0560641,toe injury
C0560645,heel injury
C0560651,central cord syndrome
C0560737,hamate
C0560738,VQ SCAN
C0560801,sitting to standing
C0560831,down sitting
C0560837,IT UP
C0560854,TRENDING DOWN
C0560885,unable to stand
C0560902,head turning
C0560973,scratching scratching
C0561241,lip laceration
C0561249,wrist laceration
C0561262,knee lacerations
C0561272,head cut
C0561280,out mouth
C0561289,cutting wrist
C0561296,cut back
C0561313,foot cut
C0561345,back stab wounds
C0561770,verbal memory
C0561772,BLADDER LACERATION
C0561852,bone injuries
C0561858,oral sedation
C0561862,evoked potential
C0561923,scar revision
C0561942,climb
C0561946,explantation
C0561947,placement of implanted
C0561984,arm moving
C0561990,and moved
C0561995,legs move
C0562007,head moving
C0562025,incision and drainage of abscess
C0562057,burning throat
C0562230,and functioning
C0562238,abdomen examination
C0562263,joint examination
C0562264,spine examination
C0562319,heart examination
C0562342,enable
C0562345,know right
C0562350,Circumference
C0562357,informed
C0562359,institutional
C0562381,victim of abuse
C0562384,mental abuse
C0562457,manic behavior
C0562483,persistent cough
C0562491,cardiac cachexia
C0562551,shouts
C0562577,mock
C0563017,rooting
C0563143,mental function
C0563211,Carcinoma of anal canal
C0563233,bone in throat
C0563243,poor coordination
C0563275,right sided chest pain
C0563276,left sided abdominal pain
C0563277,right sided abdominal pain
C0563278,upper chest pain
C0563287,arm tightness
C0563291,mechanical compression
C0563306,IgG myeloma
C0563312,IgM MGUS
C0563322,intravenous steroids
C0563350,Difficulty opening mouth
C0563454,Swab
C0563522,melanoma excision
C0563528,Right Oophorectomy
C0563537,pars plana vitrectomy
C0563538,Force
C0563547,changes pres
C0563558,subdural catheter
C0563594,high temperatures
C0563625,Analgesia
C0563664,suicide risk
C0564182,localization
C0564213,language difficulty
C0564216,unable to speak
C0564221,difficulty talking
C0564225,find words
C0564405,relief
C0564408,Mania
C0564444,wound skin
C0564446,wound scar
C0564457,Percutaneous Nephrostomy
C0564474,level of anxiety
C0564536,gregarious
C0564567,impulsiveness
C0564626,pressure controlled ventilation
C0564820,left arm pain
C0564821,right arm pain
C0564822,left leg pain
C0564823,right leg pain
C0564832,p osteomyelitis
C0564967,nerve transposition
C0565198,bladder drainage
C0565203,renal cyst aspiration
C0565255,prostocystectomy
C0565315,antrectomy
C0565342,reduction surgical
C0565345,arthroplasty
C0565350,tendon repair
C0565436,internal urethrotomy
C0565460,bone reconstructions
C0565531,blood cell transfusions
C0565599,maternal hypertension
C0565653,vaccine reaction
C0565699,dexterity
C0565867,delivery method
C0565929,Thoracic back
C0565944,skin burns
C0565967,mouth care
C0566001,communicated
C0566217,ask questions
C0566229,greet
C0566270,able to breath
C0566271,unable to breathe
C0566277,does drink
C0566278,does not drink
C0566306,unable to eat
C0566308,does not eat
C0566355,Inability to swallow
C0566398,suckle
C0566410,bottle feeds
C0566415,unable
C0566416,feeding self
C0566506,unable to take deep breaths
C0566507,take deep breaths
C0566510,difficulty taking deep breaths
C0566520,huffs
C0566528,EXPECTORATED
C0566568,sating normally
C0566602,Primary sclerosing cholangitis
C0566625,Unintelligible speech
C0566628,and language
C0566690,vaginal delivery
C0566693,large placental
C0566694,small placenta
C0566723,"reduced amniotic
fluid"
C0566879,normal fetus
C0566906,labial swelling
C0566918,labial lesions
C0566943,vaginal lesion
C0567027,vagina normal
